#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
7f7292edd793d582176c6f026b19870a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter segnis
8e37fd9c9428117e01b495afc83f923d	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
bdf87abf97518036c9ae934870a55836	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
b48c164f18574da29166467d2ed6544f	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
efdf8504d76cb6a045a3b8e601302e1f	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
c0cf0f2d4510a6787d2611b4dfb91e8a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
3ed4b918cd018675b9536bbece461599	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
b162d45831d7f6fd9550c5932cd41634	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
8cede2b44d0f779e05ab7d8dbd00b204	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
8347c8530204c435d744d670ced7905a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
9d44bd9f5dbb9a06ccf790a90880c3f1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Pasteurellaceae	Aggregatibacter_736122	Aggregatibacter_736122_unclassified
